job_id,panel,alpha_hex,delta_hex,alpha_description,delta_description,value_score
value_b00_a01_d01,byte_values,01000000000000000000000000000000,01000000000000000000000000000000,"byte 0, value 0x01, weight 1","byte 0, value 0x01, weight 1",
value_b00_a02_d02,byte_values,02000000000000000000000000000000,02000000000000000000000000000000,"byte 0, value 0x02, weight 1","byte 0, value 0x02, weight 1",
value_b00_a04_d04,byte_values,04000000000000000000000000000000,04000000000000000000000000000000,"byte 0, value 0x04, weight 1","byte 0, value 0x04, weight 1",
value_b00_a08_d08,byte_values,08000000000000000000000000000000,08000000000000000000000000000000,"byte 0, value 0x08, weight 1","byte 0, value 0x08, weight 1",
value_b00_a10_d10,byte_values,10000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x10, weight 1","byte 0, value 0x10, weight 1",
value_b00_a20_d20,byte_values,20000000000000000000000000000000,20000000000000000000000000000000,"byte 0, value 0x20, weight 1","byte 0, value 0x20, weight 1",
value_b00_a40_d40,byte_values,40000000000000000000000000000000,40000000000000000000000000000000,"byte 0, value 0x40, weight 1","byte 0, value 0x40, weight 1",
value_b00_a80_d80,byte_values,80000000000000000000000000000000,80000000000000000000000000000000,"byte 0, value 0x80, weight 1","byte 0, value 0x80, weight 1",
value_b00_a03_d0C,byte_values,03000000000000000000000000000000,0C000000000000000000000000000000,"byte 0, value 0x03, weight 2","byte 0, value 0x0C, weight 2",
value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
value_b00_a1B_d63,byte_values,1B000000000000000000000000000000,63000000000000000000000000000000,"byte 0, value 0x1B, weight 4","byte 0, value 0x63, weight 4",
value_b00_a55_dAA,byte_values,55000000000000000000000000000000,AA000000000000000000000000000000,"byte 0, value 0x55, weight 4","byte 0, value 0xAA, weight 4",
value_b00_aAA_d55,byte_values,AA000000000000000000000000000000,55000000000000000000000000000000,"byte 0, value 0xAA, weight 4","byte 0, value 0x55, weight 4",
value_b00_aFE_d01,byte_values,FE000000000000000000000000000000,01000000000000000000000000000000,"byte 0, value 0xFE, weight 7","byte 0, value 0x01, weight 1",
value_b00_aFF_dFF,byte_values,FF000000000000000000000000000000,FF000000000000000000000000000000,"byte 0, value 0xFF, weight 8","byte 0, value 0xFF, weight 8",
bit_a000_d000_off+000,bit_positions,80000000000000000000000000000000,80000000000000000000000000000000,"single bit 0 (byte 0, bit-in-byte 0, MSB-first)","single bit 0 (byte 0, bit-in-byte 0, offset +0)",
bit_a001_d001_off+000,bit_positions,40000000000000000000000000000000,40000000000000000000000000000000,"single bit 1 (byte 0, bit-in-byte 1, MSB-first)","single bit 1 (byte 0, bit-in-byte 1, offset +0)",
bit_a002_d002_off+000,bit_positions,20000000000000000000000000000000,20000000000000000000000000000000,"single bit 2 (byte 0, bit-in-byte 2, MSB-first)","single bit 2 (byte 0, bit-in-byte 2, offset +0)",
bit_a003_d003_off+000,bit_positions,10000000000000000000000000000000,10000000000000000000000000000000,"single bit 3 (byte 0, bit-in-byte 3, MSB-first)","single bit 3 (byte 0, bit-in-byte 3, offset +0)",
bit_a004_d004_off+000,bit_positions,08000000000000000000000000000000,08000000000000000000000000000000,"single bit 4 (byte 0, bit-in-byte 4, MSB-first)","single bit 4 (byte 0, bit-in-byte 4, offset +0)",
bit_a005_d005_off+000,bit_positions,04000000000000000000000000000000,04000000000000000000000000000000,"single bit 5 (byte 0, bit-in-byte 5, MSB-first)","single bit 5 (byte 0, bit-in-byte 5, offset +0)",
bit_a006_d006_off+000,bit_positions,02000000000000000000000000000000,02000000000000000000000000000000,"single bit 6 (byte 0, bit-in-byte 6, MSB-first)","single bit 6 (byte 0, bit-in-byte 6, offset +0)",
bit_a007_d007_off+000,bit_positions,01000000000000000000000000000000,01000000000000000000000000000000,"single bit 7 (byte 0, bit-in-byte 7, MSB-first)","single bit 7 (byte 0, bit-in-byte 7, offset +0)",
bit_a008_d008_off+000,bit_positions,00800000000000000000000000000000,00800000000000000000000000000000,"single bit 8 (byte 1, bit-in-byte 0, MSB-first)","single bit 8 (byte 1, bit-in-byte 0, offset +0)",
bit_a009_d009_off+000,bit_positions,00400000000000000000000000000000,00400000000000000000000000000000,"single bit 9 (byte 1, bit-in-byte 1, MSB-first)","single bit 9 (byte 1, bit-in-byte 1, offset +0)",
bit_a010_d010_off+000,bit_positions,00200000000000000000000000000000,00200000000000000000000000000000,"single bit 10 (byte 1, bit-in-byte 2, MSB-first)","single bit 10 (byte 1, bit-in-byte 2, offset +0)",
bit_a011_d011_off+000,bit_positions,00100000000000000000000000000000,00100000000000000000000000000000,"single bit 11 (byte 1, bit-in-byte 3, MSB-first)","single bit 11 (byte 1, bit-in-byte 3, offset +0)",
bit_a012_d012_off+000,bit_positions,00080000000000000000000000000000,00080000000000000000000000000000,"single bit 12 (byte 1, bit-in-byte 4, MSB-first)","single bit 12 (byte 1, bit-in-byte 4, offset +0)",
bit_a013_d013_off+000,bit_positions,00040000000000000000000000000000,00040000000000000000000000000000,"single bit 13 (byte 1, bit-in-byte 5, MSB-first)","single bit 13 (byte 1, bit-in-byte 5, offset +0)",
bit_a014_d014_off+000,bit_positions,00020000000000000000000000000000,00020000000000000000000000000000,"single bit 14 (byte 1, bit-in-byte 6, MSB-first)","single bit 14 (byte 1, bit-in-byte 6, offset +0)",
bit_a015_d015_off+000,bit_positions,00010000000000000000000000000000,00010000000000000000000000000000,"single bit 15 (byte 1, bit-in-byte 7, MSB-first)","single bit 15 (byte 1, bit-in-byte 7, offset +0)",
bit_a016_d016_off+000,bit_positions,00008000000000000000000000000000,00008000000000000000000000000000,"single bit 16 (byte 2, bit-in-byte 0, MSB-first)","single bit 16 (byte 2, bit-in-byte 0, offset +0)",
bit_a017_d017_off+000,bit_positions,00004000000000000000000000000000,00004000000000000000000000000000,"single bit 17 (byte 2, bit-in-byte 1, MSB-first)","single bit 17 (byte 2, bit-in-byte 1, offset +0)",
bit_a018_d018_off+000,bit_positions,00002000000000000000000000000000,00002000000000000000000000000000,"single bit 18 (byte 2, bit-in-byte 2, MSB-first)","single bit 18 (byte 2, bit-in-byte 2, offset +0)",
bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
bit_a020_d020_off+000,bit_positions,00000800000000000000000000000000,00000800000000000000000000000000,"single bit 20 (byte 2, bit-in-byte 4, MSB-first)","single bit 20 (byte 2, bit-in-byte 4, offset +0)",
bit_a021_d021_off+000,bit_positions,00000400000000000000000000000000,00000400000000000000000000000000,"single bit 21 (byte 2, bit-in-byte 5, MSB-first)","single bit 21 (byte 2, bit-in-byte 5, offset +0)",
bit_a022_d022_off+000,bit_positions,00000200000000000000000000000000,00000200000000000000000000000000,"single bit 22 (byte 2, bit-in-byte 6, MSB-first)","single bit 22 (byte 2, bit-in-byte 6, offset +0)",
bit_a023_d023_off+000,bit_positions,00000100000000000000000000000000,00000100000000000000000000000000,"single bit 23 (byte 2, bit-in-byte 7, MSB-first)","single bit 23 (byte 2, bit-in-byte 7, offset +0)",
bit_a024_d024_off+000,bit_positions,00000080000000000000000000000000,00000080000000000000000000000000,"single bit 24 (byte 3, bit-in-byte 0, MSB-first)","single bit 24 (byte 3, bit-in-byte 0, offset +0)",
bit_a025_d025_off+000,bit_positions,00000040000000000000000000000000,00000040000000000000000000000000,"single bit 25 (byte 3, bit-in-byte 1, MSB-first)","single bit 25 (byte 3, bit-in-byte 1, offset +0)",
bit_a026_d026_off+000,bit_positions,00000020000000000000000000000000,00000020000000000000000000000000,"single bit 26 (byte 3, bit-in-byte 2, MSB-first)","single bit 26 (byte 3, bit-in-byte 2, offset +0)",
bit_a027_d027_off+000,bit_positions,00000010000000000000000000000000,00000010000000000000000000000000,"single bit 27 (byte 3, bit-in-byte 3, MSB-first)","single bit 27 (byte 3, bit-in-byte 3, offset +0)",
bit_a028_d028_off+000,bit_positions,00000008000000000000000000000000,00000008000000000000000000000000,"single bit 28 (byte 3, bit-in-byte 4, MSB-first)","single bit 28 (byte 3, bit-in-byte 4, offset +0)",
bit_a029_d029_off+000,bit_positions,00000004000000000000000000000000,00000004000000000000000000000000,"single bit 29 (byte 3, bit-in-byte 5, MSB-first)","single bit 29 (byte 3, bit-in-byte 5, offset +0)",
bit_a030_d030_off+000,bit_positions,00000002000000000000000000000000,00000002000000000000000000000000,"single bit 30 (byte 3, bit-in-byte 6, MSB-first)","single bit 30 (byte 3, bit-in-byte 6, offset +0)",
bit_a031_d031_off+000,bit_positions,00000001000000000000000000000000,00000001000000000000000000000000,"single bit 31 (byte 3, bit-in-byte 7, MSB-first)","single bit 31 (byte 3, bit-in-byte 7, offset +0)",
bit_a032_d032_off+000,bit_positions,00000000800000000000000000000000,00000000800000000000000000000000,"single bit 32 (byte 4, bit-in-byte 0, MSB-first)","single bit 32 (byte 4, bit-in-byte 0, offset +0)",
bit_a033_d033_off+000,bit_positions,00000000400000000000000000000000,00000000400000000000000000000000,"single bit 33 (byte 4, bit-in-byte 1, MSB-first)","single bit 33 (byte 4, bit-in-byte 1, offset +0)",
bit_a034_d034_off+000,bit_positions,00000000200000000000000000000000,00000000200000000000000000000000,"single bit 34 (byte 4, bit-in-byte 2, MSB-first)","single bit 34 (byte 4, bit-in-byte 2, offset +0)",
bit_a035_d035_off+000,bit_positions,00000000100000000000000000000000,00000000100000000000000000000000,"single bit 35 (byte 4, bit-in-byte 3, MSB-first)","single bit 35 (byte 4, bit-in-byte 3, offset +0)",
bit_a036_d036_off+000,bit_positions,00000000080000000000000000000000,00000000080000000000000000000000,"single bit 36 (byte 4, bit-in-byte 4, MSB-first)","single bit 36 (byte 4, bit-in-byte 4, offset +0)",
bit_a037_d037_off+000,bit_positions,00000000040000000000000000000000,00000000040000000000000000000000,"single bit 37 (byte 4, bit-in-byte 5, MSB-first)","single bit 37 (byte 4, bit-in-byte 5, offset +0)",
bit_a038_d038_off+000,bit_positions,00000000020000000000000000000000,00000000020000000000000000000000,"single bit 38 (byte 4, bit-in-byte 6, MSB-first)","single bit 38 (byte 4, bit-in-byte 6, offset +0)",
bit_a039_d039_off+000,bit_positions,00000000010000000000000000000000,00000000010000000000000000000000,"single bit 39 (byte 4, bit-in-byte 7, MSB-first)","single bit 39 (byte 4, bit-in-byte 7, offset +0)",
bit_a040_d040_off+000,bit_positions,00000000008000000000000000000000,00000000008000000000000000000000,"single bit 40 (byte 5, bit-in-byte 0, MSB-first)","single bit 40 (byte 5, bit-in-byte 0, offset +0)",
bit_a041_d041_off+000,bit_positions,00000000004000000000000000000000,00000000004000000000000000000000,"single bit 41 (byte 5, bit-in-byte 1, MSB-first)","single bit 41 (byte 5, bit-in-byte 1, offset +0)",
bit_a042_d042_off+000,bit_positions,00000000002000000000000000000000,00000000002000000000000000000000,"single bit 42 (byte 5, bit-in-byte 2, MSB-first)","single bit 42 (byte 5, bit-in-byte 2, offset +0)",
bit_a043_d043_off+000,bit_positions,00000000001000000000000000000000,00000000001000000000000000000000,"single bit 43 (byte 5, bit-in-byte 3, MSB-first)","single bit 43 (byte 5, bit-in-byte 3, offset +0)",
bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
bit_a045_d045_off+000,bit_positions,00000000000400000000000000000000,00000000000400000000000000000000,"single bit 45 (byte 5, bit-in-byte 5, MSB-first)","single bit 45 (byte 5, bit-in-byte 5, offset +0)",
bit_a046_d046_off+000,bit_positions,00000000000200000000000000000000,00000000000200000000000000000000,"single bit 46 (byte 5, bit-in-byte 6, MSB-first)","single bit 46 (byte 5, bit-in-byte 6, offset +0)",
bit_a047_d047_off+000,bit_positions,00000000000100000000000000000000,00000000000100000000000000000000,"single bit 47 (byte 5, bit-in-byte 7, MSB-first)","single bit 47 (byte 5, bit-in-byte 7, offset +0)",
bit_a048_d048_off+000,bit_positions,00000000000080000000000000000000,00000000000080000000000000000000,"single bit 48 (byte 6, bit-in-byte 0, MSB-first)","single bit 48 (byte 6, bit-in-byte 0, offset +0)",
bit_a049_d049_off+000,bit_positions,00000000000040000000000000000000,00000000000040000000000000000000,"single bit 49 (byte 6, bit-in-byte 1, MSB-first)","single bit 49 (byte 6, bit-in-byte 1, offset +0)",
bit_a050_d050_off+000,bit_positions,00000000000020000000000000000000,00000000000020000000000000000000,"single bit 50 (byte 6, bit-in-byte 2, MSB-first)","single bit 50 (byte 6, bit-in-byte 2, offset +0)",
bit_a051_d051_off+000,bit_positions,00000000000010000000000000000000,00000000000010000000000000000000,"single bit 51 (byte 6, bit-in-byte 3, MSB-first)","single bit 51 (byte 6, bit-in-byte 3, offset +0)",
bit_a052_d052_off+000,bit_positions,00000000000008000000000000000000,00000000000008000000000000000000,"single bit 52 (byte 6, bit-in-byte 4, MSB-first)","single bit 52 (byte 6, bit-in-byte 4, offset +0)",
bit_a053_d053_off+000,bit_positions,00000000000004000000000000000000,00000000000004000000000000000000,"single bit 53 (byte 6, bit-in-byte 5, MSB-first)","single bit 53 (byte 6, bit-in-byte 5, offset +0)",
bit_a054_d054_off+000,bit_positions,00000000000002000000000000000000,00000000000002000000000000000000,"single bit 54 (byte 6, bit-in-byte 6, MSB-first)","single bit 54 (byte 6, bit-in-byte 6, offset +0)",
bit_a055_d055_off+000,bit_positions,00000000000001000000000000000000,00000000000001000000000000000000,"single bit 55 (byte 6, bit-in-byte 7, MSB-first)","single bit 55 (byte 6, bit-in-byte 7, offset +0)",
bit_a056_d056_off+000,bit_positions,00000000000000800000000000000000,00000000000000800000000000000000,"single bit 56 (byte 7, bit-in-byte 0, MSB-first)","single bit 56 (byte 7, bit-in-byte 0, offset +0)",
bit_a057_d057_off+000,bit_positions,00000000000000400000000000000000,00000000000000400000000000000000,"single bit 57 (byte 7, bit-in-byte 1, MSB-first)","single bit 57 (byte 7, bit-in-byte 1, offset +0)",
bit_a058_d058_off+000,bit_positions,00000000000000200000000000000000,00000000000000200000000000000000,"single bit 58 (byte 7, bit-in-byte 2, MSB-first)","single bit 58 (byte 7, bit-in-byte 2, offset +0)",
bit_a059_d059_off+000,bit_positions,00000000000000100000000000000000,00000000000000100000000000000000,"single bit 59 (byte 7, bit-in-byte 3, MSB-first)","single bit 59 (byte 7, bit-in-byte 3, offset +0)",
bit_a060_d060_off+000,bit_positions,00000000000000080000000000000000,00000000000000080000000000000000,"single bit 60 (byte 7, bit-in-byte 4, MSB-first)","single bit 60 (byte 7, bit-in-byte 4, offset +0)",
bit_a061_d061_off+000,bit_positions,00000000000000040000000000000000,00000000000000040000000000000000,"single bit 61 (byte 7, bit-in-byte 5, MSB-first)","single bit 61 (byte 7, bit-in-byte 5, offset +0)",
bit_a062_d062_off+000,bit_positions,00000000000000020000000000000000,00000000000000020000000000000000,"single bit 62 (byte 7, bit-in-byte 6, MSB-first)","single bit 62 (byte 7, bit-in-byte 6, offset +0)",
bit_a063_d063_off+000,bit_positions,00000000000000010000000000000000,00000000000000010000000000000000,"single bit 63 (byte 7, bit-in-byte 7, MSB-first)","single bit 63 (byte 7, bit-in-byte 7, offset +0)",
bit_a064_d064_off+000,bit_positions,00000000000000008000000000000000,00000000000000008000000000000000,"single bit 64 (byte 8, bit-in-byte 0, MSB-first)","single bit 64 (byte 8, bit-in-byte 0, offset +0)",
bit_a065_d065_off+000,bit_positions,00000000000000004000000000000000,00000000000000004000000000000000,"single bit 65 (byte 8, bit-in-byte 1, MSB-first)","single bit 65 (byte 8, bit-in-byte 1, offset +0)",
bit_a066_d066_off+000,bit_positions,00000000000000002000000000000000,00000000000000002000000000000000,"single bit 66 (byte 8, bit-in-byte 2, MSB-first)","single bit 66 (byte 8, bit-in-byte 2, offset +0)",
bit_a067_d067_off+000,bit_positions,00000000000000001000000000000000,00000000000000001000000000000000,"single bit 67 (byte 8, bit-in-byte 3, MSB-first)","single bit 67 (byte 8, bit-in-byte 3, offset +0)",
bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
bit_a069_d069_off+000,bit_positions,00000000000000000400000000000000,00000000000000000400000000000000,"single bit 69 (byte 8, bit-in-byte 5, MSB-first)","single bit 69 (byte 8, bit-in-byte 5, offset +0)",
bit_a070_d070_off+000,bit_positions,00000000000000000200000000000000,00000000000000000200000000000000,"single bit 70 (byte 8, bit-in-byte 6, MSB-first)","single bit 70 (byte 8, bit-in-byte 6, offset +0)",
bit_a071_d071_off+000,bit_positions,00000000000000000100000000000000,00000000000000000100000000000000,"single bit 71 (byte 8, bit-in-byte 7, MSB-first)","single bit 71 (byte 8, bit-in-byte 7, offset +0)",
bit_a072_d072_off+000,bit_positions,00000000000000000080000000000000,00000000000000000080000000000000,"single bit 72 (byte 9, bit-in-byte 0, MSB-first)","single bit 72 (byte 9, bit-in-byte 0, offset +0)",
bit_a073_d073_off+000,bit_positions,00000000000000000040000000000000,00000000000000000040000000000000,"single bit 73 (byte 9, bit-in-byte 1, MSB-first)","single bit 73 (byte 9, bit-in-byte 1, offset +0)",
bit_a074_d074_off+000,bit_positions,00000000000000000020000000000000,00000000000000000020000000000000,"single bit 74 (byte 9, bit-in-byte 2, MSB-first)","single bit 74 (byte 9, bit-in-byte 2, offset +0)",
bit_a075_d075_off+000,bit_positions,00000000000000000010000000000000,00000000000000000010000000000000,"single bit 75 (byte 9, bit-in-byte 3, MSB-first)","single bit 75 (byte 9, bit-in-byte 3, offset +0)",
bit_a076_d076_off+000,bit_positions,00000000000000000008000000000000,00000000000000000008000000000000,"single bit 76 (byte 9, bit-in-byte 4, MSB-first)","single bit 76 (byte 9, bit-in-byte 4, offset +0)",
bit_a077_d077_off+000,bit_positions,00000000000000000004000000000000,00000000000000000004000000000000,"single bit 77 (byte 9, bit-in-byte 5, MSB-first)","single bit 77 (byte 9, bit-in-byte 5, offset +0)",
bit_a078_d078_off+000,bit_positions,00000000000000000002000000000000,00000000000000000002000000000000,"single bit 78 (byte 9, bit-in-byte 6, MSB-first)","single bit 78 (byte 9, bit-in-byte 6, offset +0)",
bit_a079_d079_off+000,bit_positions,00000000000000000001000000000000,00000000000000000001000000000000,"single bit 79 (byte 9, bit-in-byte 7, MSB-first)","single bit 79 (byte 9, bit-in-byte 7, offset +0)",
bit_a080_d080_off+000,bit_positions,00000000000000000000800000000000,00000000000000000000800000000000,"single bit 80 (byte 10, bit-in-byte 0, MSB-first)","single bit 80 (byte 10, bit-in-byte 0, offset +0)",
bit_a081_d081_off+000,bit_positions,00000000000000000000400000000000,00000000000000000000400000000000,"single bit 81 (byte 10, bit-in-byte 1, MSB-first)","single bit 81 (byte 10, bit-in-byte 1, offset +0)",
bit_a082_d082_off+000,bit_positions,00000000000000000000200000000000,00000000000000000000200000000000,"single bit 82 (byte 10, bit-in-byte 2, MSB-first)","single bit 82 (byte 10, bit-in-byte 2, offset +0)",
bit_a083_d083_off+000,bit_positions,00000000000000000000100000000000,00000000000000000000100000000000,"single bit 83 (byte 10, bit-in-byte 3, MSB-first)","single bit 83 (byte 10, bit-in-byte 3, offset +0)",
bit_a084_d084_off+000,bit_positions,00000000000000000000080000000000,00000000000000000000080000000000,"single bit 84 (byte 10, bit-in-byte 4, MSB-first)","single bit 84 (byte 10, bit-in-byte 4, offset +0)",
bit_a085_d085_off+000,bit_positions,00000000000000000000040000000000,00000000000000000000040000000000,"single bit 85 (byte 10, bit-in-byte 5, MSB-first)","single bit 85 (byte 10, bit-in-byte 5, offset +0)",
bit_a086_d086_off+000,bit_positions,00000000000000000000020000000000,00000000000000000000020000000000,"single bit 86 (byte 10, bit-in-byte 6, MSB-first)","single bit 86 (byte 10, bit-in-byte 6, offset +0)",
bit_a087_d087_off+000,bit_positions,00000000000000000000010000000000,00000000000000000000010000000000,"single bit 87 (byte 10, bit-in-byte 7, MSB-first)","single bit 87 (byte 10, bit-in-byte 7, offset +0)",
bit_a088_d088_off+000,bit_positions,00000000000000000000008000000000,00000000000000000000008000000000,"single bit 88 (byte 11, bit-in-byte 0, MSB-first)","single bit 88 (byte 11, bit-in-byte 0, offset +0)",
bit_a089_d089_off+000,bit_positions,00000000000000000000004000000000,00000000000000000000004000000000,"single bit 89 (byte 11, bit-in-byte 1, MSB-first)","single bit 89 (byte 11, bit-in-byte 1, offset +0)",
bit_a090_d090_off+000,bit_positions,00000000000000000000002000000000,00000000000000000000002000000000,"single bit 90 (byte 11, bit-in-byte 2, MSB-first)","single bit 90 (byte 11, bit-in-byte 2, offset +0)",
bit_a091_d091_off+000,bit_positions,00000000000000000000001000000000,00000000000000000000001000000000,"single bit 91 (byte 11, bit-in-byte 3, MSB-first)","single bit 91 (byte 11, bit-in-byte 3, offset +0)",
bit_a092_d092_off+000,bit_positions,00000000000000000000000800000000,00000000000000000000000800000000,"single bit 92 (byte 11, bit-in-byte 4, MSB-first)","single bit 92 (byte 11, bit-in-byte 4, offset +0)",
bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
bit_a094_d094_off+000,bit_positions,00000000000000000000000200000000,00000000000000000000000200000000,"single bit 94 (byte 11, bit-in-byte 6, MSB-first)","single bit 94 (byte 11, bit-in-byte 6, offset +0)",
bit_a095_d095_off+000,bit_positions,00000000000000000000000100000000,00000000000000000000000100000000,"single bit 95 (byte 11, bit-in-byte 7, MSB-first)","single bit 95 (byte 11, bit-in-byte 7, offset +0)",
bit_a096_d096_off+000,bit_positions,00000000000000000000000080000000,00000000000000000000000080000000,"single bit 96 (byte 12, bit-in-byte 0, MSB-first)","single bit 96 (byte 12, bit-in-byte 0, offset +0)",
bit_a097_d097_off+000,bit_positions,00000000000000000000000040000000,00000000000000000000000040000000,"single bit 97 (byte 12, bit-in-byte 1, MSB-first)","single bit 97 (byte 12, bit-in-byte 1, offset +0)",
bit_a098_d098_off+000,bit_positions,00000000000000000000000020000000,00000000000000000000000020000000,"single bit 98 (byte 12, bit-in-byte 2, MSB-first)","single bit 98 (byte 12, bit-in-byte 2, offset +0)",
bit_a099_d099_off+000,bit_positions,00000000000000000000000010000000,00000000000000000000000010000000,"single bit 99 (byte 12, bit-in-byte 3, MSB-first)","single bit 99 (byte 12, bit-in-byte 3, offset +0)",
bit_a100_d100_off+000,bit_positions,00000000000000000000000008000000,00000000000000000000000008000000,"single bit 100 (byte 12, bit-in-byte 4, MSB-first)","single bit 100 (byte 12, bit-in-byte 4, offset +0)",
bit_a101_d101_off+000,bit_positions,00000000000000000000000004000000,00000000000000000000000004000000,"single bit 101 (byte 12, bit-in-byte 5, MSB-first)","single bit 101 (byte 12, bit-in-byte 5, offset +0)",
bit_a102_d102_off+000,bit_positions,00000000000000000000000002000000,00000000000000000000000002000000,"single bit 102 (byte 12, bit-in-byte 6, MSB-first)","single bit 102 (byte 12, bit-in-byte 6, offset +0)",
bit_a103_d103_off+000,bit_positions,00000000000000000000000001000000,00000000000000000000000001000000,"single bit 103 (byte 12, bit-in-byte 7, MSB-first)","single bit 103 (byte 12, bit-in-byte 7, offset +0)",
bit_a104_d104_off+000,bit_positions,00000000000000000000000000800000,00000000000000000000000000800000,"single bit 104 (byte 13, bit-in-byte 0, MSB-first)","single bit 104 (byte 13, bit-in-byte 0, offset +0)",
bit_a105_d105_off+000,bit_positions,00000000000000000000000000400000,00000000000000000000000000400000,"single bit 105 (byte 13, bit-in-byte 1, MSB-first)","single bit 105 (byte 13, bit-in-byte 1, offset +0)",
bit_a106_d106_off+000,bit_positions,00000000000000000000000000200000,00000000000000000000000000200000,"single bit 106 (byte 13, bit-in-byte 2, MSB-first)","single bit 106 (byte 13, bit-in-byte 2, offset +0)",
bit_a107_d107_off+000,bit_positions,00000000000000000000000000100000,00000000000000000000000000100000,"single bit 107 (byte 13, bit-in-byte 3, MSB-first)","single bit 107 (byte 13, bit-in-byte 3, offset +0)",
bit_a108_d108_off+000,bit_positions,00000000000000000000000000080000,00000000000000000000000000080000,"single bit 108 (byte 13, bit-in-byte 4, MSB-first)","single bit 108 (byte 13, bit-in-byte 4, offset +0)",
bit_a109_d109_off+000,bit_positions,00000000000000000000000000040000,00000000000000000000000000040000,"single bit 109 (byte 13, bit-in-byte 5, MSB-first)","single bit 109 (byte 13, bit-in-byte 5, offset +0)",
bit_a110_d110_off+000,bit_positions,00000000000000000000000000020000,00000000000000000000000000020000,"single bit 110 (byte 13, bit-in-byte 6, MSB-first)","single bit 110 (byte 13, bit-in-byte 6, offset +0)",
bit_a111_d111_off+000,bit_positions,00000000000000000000000000010000,00000000000000000000000000010000,"single bit 111 (byte 13, bit-in-byte 7, MSB-first)","single bit 111 (byte 13, bit-in-byte 7, offset +0)",
bit_a112_d112_off+000,bit_positions,00000000000000000000000000008000,00000000000000000000000000008000,"single bit 112 (byte 14, bit-in-byte 0, MSB-first)","single bit 112 (byte 14, bit-in-byte 0, offset +0)",
